Area,Category,Item,Description,Date,Orders,Type of Order
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-10,140,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-24,120,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-11-18,108,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-02-07,110,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-11,136,Takeaway
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-06,58,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-11,164,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-02-28,49,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-05-09,145,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-20,5,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-04-28,172,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-30,154,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-10-27,52,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-09-20,16,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-07-05,181,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-11-01,51,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-04-22,113,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-21,175,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-09-27,44,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-11-17,32,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-26,174,Takeaway
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-06-25,111,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-05-19,77,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-10-22,121,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-02-26,28,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-09,97,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-02-13,78,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-09-29,85,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-11-06,64,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-05-18,192,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-27,153,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-05-19,13,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-21,22,Takeaway
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-05-15,58,Online
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-12-21,98,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-06-30,150,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-01-31,3,Dining
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-01-04,32,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-29,133,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-07-08,118,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-10-11,79,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-09-21,81,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-11-30,108,Dining
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-02-28,22,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-04-15,13,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-02-10,128,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-02-28,57,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-17,33,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-05,70,Online
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-14,155,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-12,141,Dining
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-07-27,38,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-05-12,177,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-07-25,133,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-10-27,86,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-01,133,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-08-09,130,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-10-29,168,Online
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-04-21,95,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-12,89,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-10-07,67,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-05-19,199,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-11,167,Dining
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-01-20,141,Online
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-05-05,61,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-08-09,169,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-24,192,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-05-02,92,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-13,27,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-05-28,6,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-01-28,158,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-01-21,196,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-09-04,174,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2021-11-08,152,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-07-11,67,Dining
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-05-31,38,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-02-08,113,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-12-15,198,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-28,92,Dining
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-10-22,18,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-27,118,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-03-30,109,Online
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-09-09,166,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-04-11,127,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-11,77,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-12-27,114,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-06,112,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-09,33,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-05-04,198,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-24,175,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-10,168,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-29,81,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-18,22,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-11,181,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-11-26,172,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-01-20,144,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-04-08,138,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-13,168,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-09-20,54,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-02,132,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-09-22,122,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-17,59,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-01,180,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2021-11-05,103,Online
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-02-09,71,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-10-27,73,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-21,180,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-13,183,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-10-15,67,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-09-26,134,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-06-29,13,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-09,47,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-01-03,165,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-05-20,14,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-05-05,15,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-17,58,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-03-28,31,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-08-12,171,Online
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2021-11-17,91,Takeaway
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-31,179,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-04-21,165,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-12-05,183,Takeaway
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-08-30,117,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-04-14,13,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-03-08,55,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-10-26,197,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-06-14,53,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-12-13,110,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-03,165,Online
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-20,125,Online
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2021-12-06,130,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-05-01,184,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-12-21,165,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-04-06,186,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-10,59,Dining
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-05,155,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-08-22,152,Online
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-12-09,3,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-12,184,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-27,59,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-04-24,55,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-06-10,158,Online
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-10-12,113,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-02-24,27,Dining
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-01-18,109,Online
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-06-30,24,Dining
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2021-11-07,139,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-08-30,117,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-11-02,155,Online
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2021-11-07,138,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-08,92,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-01-09,38,Online
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-07-22,68,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-10-31,67,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-17,52,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-05-12,79,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2021-12-21,40,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-02-16,141,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-11-06,199,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-04-09,64,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-27,181,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-12-10,91,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-08-01,160,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-09,155,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-27,159,Takeaway
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-06,143,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-29,68,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-27,98,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-25,154,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-06-27,196,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-03-25,129,Dining
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-04,137,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-22,52,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-21,68,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-19,172,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-15,40,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-07-21,33,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-23,139,Online
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-03-17,125,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-01,189,Dining
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-09,47,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-17,52,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-04,187,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-08,59,Dining
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-03-03,125,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-01-23,163,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-11-30,17,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-15,49,Online
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2021-11-26,74,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-23,163,Online
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-04-09,45,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-17,196,Dining
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-07-29,83,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-22,75,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-09,180,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-07-24,147,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-02-20,73,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-10-19,191,Takeaway
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-09-03,155,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-30,11,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-26,165,Dining
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-07-29,107,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-06-09,180,Takeaway
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-01-26,145,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-08-03,147,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2021-11-24,153,Online
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-07-02,126,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-04-15,21,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-04-24,99,Dining
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-06-13,24,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-09-15,17,Dining
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-10-17,62,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-12,63,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-24,136,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-12-17,160,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-15,14,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-08-29,129,Takeaway
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-09-02,185,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-02,147,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2021-11-15,105,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-02-23,92,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-11-03,65,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-11,117,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-26,22,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-05-26,181,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-05-26,97,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-04-28,18,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-08-23,8,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-05,23,Online
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-08-08,188,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-02,130,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-01-01,59,Dining
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-12,28,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-12-07,167,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-10,142,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-09-27,108,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-11-02,164,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-09-16,86,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-28,12,Dining
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-12-24,121,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-25,54,Dining
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-12-07,42,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-09-07,62,Online
